"a._id","a._parent","a.author","a.date","a.location","a.id_arbre","a.taxon","a.note"
183,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-469","Eschweilera congestiflora (Benoist) Eyma",null
185,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-470","Thyrsodium guianense Sagot ex Marchand",null
187,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-485","Ptychopetalum olacoides Benth.",null
189,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-487","Tovomita sp. 10 AMAP-IRD",null
192,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-488","Sacoglottis guianensis Benth.",null
194,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-490","Micropholis cayennensis T.D.Penn.",null
196,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-491","Licania alba (Bernoulli) Cuatrec.",null
197,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-495","Parinari campestris Aubl.",null
199,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-496","Moronobea coccinea Aubl.",null
201,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-497","Manilkara bidentata (A.DC.) A.Chev.",null
203,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-498","Licania densiflora Kleinhoonte",null
205,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-499","Talisia hexaphylla Vahl",null
208,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-527","Licania alba (Bernoulli) Cuatrec.",null
209,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-559","Aspidosperma sp. 1 AMAP-IRD",null
211,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-557","Micropholis obscura T.D.Penn.","cf."
213,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-558","Licania alba (Bernoulli) Cuatrec.",null
215,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-570","Licania densiflora Kleinhoonte",null
217,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-560","Ptychopetalum olacoides Benth.",null
219,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-561","Licania alba (Bernoulli) Cuatrec.",null
221,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-562","Aspidosperma sp. 1 AMAP-IRD",null
223,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-568","Pachira flaviflora (Pulle) Fern.Alonso",null
225,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-569","Pachira flaviflora (Pulle) Fern.Alonso",null
228,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-571","Licania alba (Bernoulli) Cuatrec.",null
231,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-573","Platonia insignis Mart.",null
232,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-577","Elaeoluma nuda (Baehni) Aubrév.",null
234,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-574","Licania densiflora Kleinhoonte",null
236,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-576","Duroia longiflora Ducke",null
239,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-579","Parkia reticulata Ducke",null
241,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-580","Licania densiflora Kleinhoonte",null
243,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-581","Cathedra acuminata (Benth.) Miers",null
245,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-582","Dicorynia guianensis Amshoff",null
249,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-583","Aspidosperma sp. 1 AMAP-IRD",null
